price,installment,title,location,bedroom,bathroom,garage,land_area,building_area
"Rp 3,95 Miliar Total",Rp 20 Jutaan (Tenor 20 Tahun),"Dijual Ruko Cbd Greenlake City 3,5 Lt Siap Pakai",Tangerang,,3,,61 m²,200 m²
"Rp 2,15 Miliar Total",Rp 11 Jutaan (Tenor 20 Tahun),"Murah! Ruko Bekasi Mas, Strategis Cocok Bisnis",Bekasi,,4,,68 m²,284 m²
"Rp 6,75 Miliar Total",Rp 34 Jutaan (Tenor 20 Tahun),Dijual Ruko Grand Itc Permata Hijau 3 Lt Siap Pakai,Jakarta Selatan,,3,,70 m²,210 m²
Rp 19 Miliar Total,Rp 97 Jutaan (Tenor 20 Tahun),Dijual Rumah Penginapan 27 Kamar Aktif Di Mangga Besar,Jakarta Barat,,27,8,1200 m²,530 m²
Rp 57 Miliar Total,Rp 293 Jutaan (Tenor 20 Tahun),Turun Harga!Pabrik&Gudang Lb 3900m2 Siap Pakai Di Cileungsi,Bogor,,6,20,9705 m²,3910 m²
"Rp 5,2 Miliar Total",Rp 26 Jutaan (Tenor 20 Tahun),Dijual Ruko FrenchWalk MOI 7x13m2 Siap Pakai,Jakarta Utara,,2,2,91 m²,180 m²
"Rp 13,5 Juta /m²",Rp 70 Ribuan (Tenor 20 Tahun),Turun Harga! Bengkel Lt 1270m2 Body Repair Di Pekayon Bekasi,Bekasi,,4,15,1270 m²,450 m²
"Rp 3,95 Miliar Total",Rp 20 Jutaan (Tenor 20 Tahun),"Dijual Ruko Cbd Greenlake City 3,5 Lt Siap Pakai",Tangerang,,3,,61 m²,200 m²
"Rp 2,15 Miliar Total",Rp 11 Jutaan (Tenor 20 Tahun),"Murah! Ruko Bekasi Mas, Strategis Cocok Bisnis",Bekasi,,4,,68 m²,284 m²
"Rp 6,75 Miliar Total",Rp 34 Jutaan (Tenor 20 Tahun),Dijual Ruko Grand Itc Permata Hijau 3 Lt Siap Pakai,Jakarta Selatan,,3,,70 m²,210 m²
Rp 19 Miliar Total,Rp 97 Jutaan (Tenor 20 Tahun),Dijual Rumah Penginapan 27 Kamar Aktif Di Mangga Besar,Jakarta Barat,,27,8,1200 m²,530 m²
